NAME,DATE,PRCP,SNOW,TMAX,TMIN
"SAN FRANCISCO DOWNTOWN, CA US",4/20/03,0,,58,50
"SAN FRANCISCO DOWNTOWN, CA US",4/21/03,0.14,,56,47
"SAN FRANCISCO DOWNTOWN, CA US",4/22/03,0.22,,58,46
"SAN FRANCISCO DOWNTOWN, CA US",4/23/03,0,,59,48
"SAN FRANCISCO DOWNTOWN, CA US",4/24/03,0.43,,57,47
"SAN FRANCISCO DOWNTOWN, CA US",4/25/03,0.1,,59,48
"SAN FRANCISCO DOWNTOWN, CA US",4/26/03,0,,61,47
"SAN FRANCISCO DOWNTOWN, CA US",4/27/03,0.23,,65,48
"SAN FRANCISCO DOWNTOWN, CA US",4/28/03,0.23,,59,51
"SAN FRANCISCO DOWNTOWN, CA US",4/29/03,0,,60,51
"SAN FRANCISCO DOWNTOWN, CA US",4/30/03,0,,60,48
"SAN FRANCISCO DOWNTOWN, CA US",5/1/03,0.57,,67,53
"SAN FRANCISCO DOWNTOWN, CA US",5/2/03,0,,61,54
"SAN FRANCISCO DOWNTOWN, CA US",5/3/03,0.27,,63,54
"SAN FRANCISCO DOWNTOWN, CA US",5/4/03,0.04,,60,52
"SAN FRANCISCO DOWNTOWN, CA US",5/5/03,0,,62,49
"SAN FRANCISCO DOWNTOWN, CA US",5/6/03,0.02,,60,49
"SAN FRANCISCO DOWNTOWN, CA US",5/7/03,0,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",5/8/03,0,,57,50
"SAN FRANCISCO DOWNTOWN, CA US",5/9/03,0,,60,46
"SAN FRANCISCO DOWNTOWN, CA US",5/10/03,0,,62,43
"SAN FRANCISCO DOWNTOWN, CA US",5/11/03,0,,61,48
"SAN FRANCISCO DOWNTOWN, CA US",5/12/03,0,,66,50
"SAN FRANCISCO DOWNTOWN, CA US",5/13/03,0,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",5/14/03,0,,58,51
"SAN FRANCISCO DOWNTOWN, CA US",5/15/03,0,,61,50
"SAN FRANCISCO DOWNTOWN, CA US",5/16/03,0,,64,48
"SAN FRANCISCO DOWNTOWN, CA US",5/17/03,0,,64,48
"SAN FRANCISCO DOWNTOWN, CA US",5/18/03,0,,68,51
"SAN FRANCISCO DOWNTOWN, CA US",5/19/03,0,,79,53
"SAN FRANCISCO DOWNTOWN, CA US",5/20/03,0,,75,53
"SAN FRANCISCO DOWNTOWN, CA US",5/21/03,0,,63,49
"SAN FRANCISCO DOWNTOWN, CA US",5/22/03,0,,66,51
"SAN FRANCISCO DOWNTOWN, CA US",5/23/03,0,,60,51
"SAN FRANCISCO DOWNTOWN, CA US",5/24/03,0.01,,64,54
"SAN FRANCISCO DOWNTOWN, CA US",5/25/03,0.01,,79,55
"SAN FRANCISCO DOWNTOWN, CA US",5/26/03,0,,64,51
"SAN FRANCISCO DOWNTOWN, CA US",5/27/03,0,,79,55
"SAN FRANCISCO DOWNTOWN, CA US",5/28/03,0,,87,55
"SAN FRANCISCO DOWNTOWN, CA US",5/29/03,0,,61,53
"SAN FRANCISCO DOWNTOWN, CA US",5/30/03,0.01,,65,51
"SAN FRANCISCO DOWNTOWN, CA US",5/31/03,0,,62,50
"SAN FRANCISCO DOWNTOWN, CA US",6/1/03,0,0,72,51
"SAN FRANCISCO DOWNTOWN, CA US",6/2/03,0,0,74,53
"SAN FRANCISCO DOWNTOWN, CA US",6/3/03,0,0,68,51
"SAN FRANCISCO DOWNTOWN, CA US",6/4/03,0,0,64,54
"SAN FRANCISCO DOWNTOWN, CA US",6/5/03,0,0,64,53
"SAN FRANCISCO DOWNTOWN, CA US",6/6/03,0,0,65,55
"SAN FRANCISCO DOWNTOWN, CA US",6/7/03,0,0,61,54
"SAN FRANCISCO DOWNTOWN, CA US",6/8/03,0,0,62,52
"SAN FRANCISCO DOWNTOWN, CA US",6/9/03,0,0,64,53
"SAN FRANCISCO DOWNTOWN, CA US",6/10/03,0,0,61,52
"SAN FRANCISCO DOWNTOWN, CA US",6/11/03,0,0,58,52
"SAN FRANCISCO DOWNTOWN, CA US",6/12/03,0,0,60,53
"SAN FRANCISCO DOWNTOWN, CA US",6/13/03,0,0,62,52
"SAN FRANCISCO DOWNTOWN, CA US",6/14/03,0,0,63,52
"SAN FRANCISCO DOWNTOWN, CA US",6/15/03,0,0,68,53
"SAN FRANCISCO DOWNTOWN, CA US",6/16/03,0,0,70,52
"SAN FRANCISCO DOWNTOWN, CA US",6/17/03,0,0,62,52
"SAN FRANCISCO DOWNTOWN, CA US",6/18/03,0,0,62,50
"SAN FRANCISCO DOWNTOWN, CA US",6/19/03,0,0,63,50
"SAN FRANCISCO DOWNTOWN, CA US",6/20/03,0,0,63,53
"SAN FRANCISCO DOWNTOWN, CA US",6/21/03,0,0,65,51
"SAN FRANCISCO DOWNTOWN, CA US",6/22/03,0,0,64,50
"SAN FRANCISCO DOWNTOWN, CA US",6/23/03,0,0,65,50
"SAN FRANCISCO DOWNTOWN, CA US",6/24/03,0,0,80,51
"SAN FRANCISCO DOWNTOWN, CA US",6/25/03,0,0,89,54
"SAN FRANCISCO DOWNTOWN, CA US",6/26/03,0,0,96,65
"SAN FRANCISCO DOWNTOWN, CA US",6/27/03,0,0,89,64
"SAN FRANCISCO DOWNTOWN, CA US",6/28/03,0,0,68,55
"SAN FRANCISCO DOWNTOWN, CA US",6/29/03,0,0,64,55
"SAN FRANCISCO DOWNTOWN, CA US",6/30/03,0,0,66,56
"SAN FRANCISCO DOWNTOWN, CA US",7/1/03,0,,63,53
"SAN FRANCISCO DOWNTOWN, CA US",7/2/03,0,,61,51
"SAN FRANCISCO DOWNTOWN, CA US",7/3/03,0,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",7/4/03,0,,67,51
"SAN FRANCISCO DOWNTOWN, CA US",7/5/03,0,,59,52
"SAN FRANCISCO DOWNTOWN, CA US",7/6/03,0,,59,51
"SAN FRANCISCO DOWNTOWN, CA US",7/7/03,0,,61,51
"SAN FRANCISCO DOWNTOWN, CA US",7/8/03,0,,67,52
"SAN FRANCISCO DOWNTOWN, CA US",7/9/03,0,,66,52
"SAN FRANCISCO DOWNTOWN, CA US",7/10/03,0,,63,52
"SAN FRANCISCO DOWNTOWN, CA US",7/11/03,0,,66,52
"SAN FRANCISCO DOWNTOWN, CA US",7/12/03,0,,68,54
"SAN FRANCISCO DOWNTOWN, CA US",7/13/03,0,,69,56
"SAN FRANCISCO DOWNTOWN, CA US",7/14/03,0,,77,55
"SAN FRANCISCO DOWNTOWN, CA US",7/15/03,0,,65,54
"SAN FRANCISCO DOWNTOWN, CA US",7/16/03,0,,68,52
"SAN FRANCISCO DOWNTOWN, CA US",7/17/03,0,,77,54
"SAN FRANCISCO DOWNTOWN, CA US",7/18/03,0,,69,53
"SAN FRANCISCO DOWNTOWN, CA US",7/19/03,0,,65,54
"SAN FRANCISCO DOWNTOWN, CA US",7/20/03,0,,69,55
"SAN FRANCISCO DOWNTOWN, CA US",7/21/03,0,,67,55
"SAN FRANCISCO DOWNTOWN, CA US",7/22/03,0,,66,53
"SAN FRANCISCO DOWNTOWN, CA US",7/23/03,0,,62,53
"SAN FRANCISCO DOWNTOWN, CA US",7/24/03,0,,65,54
"SAN FRANCISCO DOWNTOWN, CA US",7/25/03,0,,65,53
"SAN FRANCISCO DOWNTOWN, CA US",7/26/03,0,,64,53
"SAN FRANCISCO DOWNTOWN, CA US",7/27/03,0,,67,53
"SAN FRANCISCO DOWNTOWN, CA US",7/28/03,0,,63,52
"SAN FRANCISCO DOWNTOWN, CA US",7/29/03,0,,62,52
"SAN FRANCISCO DOWNTOWN, CA US",7/30/03,0,,64,54
"SAN FRANCISCO DOWNTOWN, CA US",7/31/03,0,,70,55
"SAN FRANCISCO DOWNTOWN, CA US",8/1/03,0.01,,66,58
"SAN FRANCISCO DOWNTOWN, CA US",8/2/03,0.03,,71,58
"SAN FRANCISCO DOWNTOWN, CA US",8/3/03,0.02,,68,58
"SAN FRANCISCO DOWNTOWN, CA US",8/4/03,0,,71,56
"SAN FRANCISCO DOWNTOWN, CA US",8/5/03,0,,72,61
"SAN FRANCISCO DOWNTOWN, CA US",8/6/03,0,,68,59
"SAN FRANCISCO DOWNTOWN, CA US",8/7/03,0,,68,58
"SAN FRANCISCO DOWNTOWN, CA US",8/8/03,0,,70,59
"SAN FRANCISCO DOWNTOWN, CA US",8/9/03,0,,71,59
"SAN FRANCISCO DOWNTOWN, CA US",8/10/03,0,,71,59
"SAN FRANCISCO DOWNTOWN, CA US",8/11/03,0,,70,59
"SAN FRANCISCO DOWNTOWN, CA US",8/12/03,0,,70,55
"SAN FRANCISCO DOWNTOWN, CA US",8/13/03,0,,71,55
"SAN FRANCISCO DOWNTOWN, CA US",8/14/03,0,,68,57
"SAN FRANCISCO DOWNTOWN, CA US",8/15/03,0,,67,56
"SAN FRANCISCO DOWNTOWN, CA US",8/16/03,0,,69,55
"SAN FRANCISCO DOWNTOWN, CA US",8/17/03,0,,72,55
"SAN FRANCISCO DOWNTOWN, CA US",8/18/03,0,,64,56
"SAN FRANCISCO DOWNTOWN, CA US",8/19/03,0,,65,57
"SAN FRANCISCO DOWNTOWN, CA US",8/20/03,0,,70,58
"SAN FRANCISCO DOWNTOWN, CA US",8/21/03,0,,71,60
"SAN FRANCISCO DOWNTOWN, CA US",8/22/03,0,,73,62
"SAN FRANCISCO DOWNTOWN, CA US",8/23/03,0,,74,59
"SAN FRANCISCO DOWNTOWN, CA US",8/24/03,0,,89,59
"SAN FRANCISCO DOWNTOWN, CA US",8/25/03,0,,78,59
"SAN FRANCISCO DOWNTOWN, CA US",8/26/03,0,,72,58
"SAN FRANCISCO DOWNTOWN, CA US",8/27/03,0,,63,56
"SAN FRANCISCO DOWNTOWN, CA US",8/28/03,0,,64,56
"SAN FRANCISCO DOWNTOWN, CA US",8/29/03,0,,64,54
"SAN FRANCISCO DOWNTOWN, CA US",8/30/03,0,,64,53
"SAN FRANCISCO DOWNTOWN, CA US",8/31/03,0,,65,53
"SAN FRANCISCO DOWNTOWN, CA US",9/1/03,0,,69,53
"SAN FRANCISCO DOWNTOWN, CA US",9/2/03,0,,66,56
"SAN FRANCISCO DOWNTOWN, CA US",9/3/03,0,,70,59
"SAN FRANCISCO DOWNTOWN, CA US",9/4/03,0,,69,58
"SAN FRANCISCO DOWNTOWN, CA US",9/5/03,0,,68,56
"SAN FRANCISCO DOWNTOWN, CA US",9/6/03,0,,69,57
"SAN FRANCISCO DOWNTOWN, CA US",9/7/03,0,,65,57
"SAN FRANCISCO DOWNTOWN, CA US",9/8/03,0,,70,55
"SAN FRANCISCO DOWNTOWN, CA US",9/9/03,0,,70,56
"SAN FRANCISCO DOWNTOWN, CA US",9/10/03,0,,73,55
"SAN FRANCISCO DOWNTOWN, CA US",9/11/03,0,,88,59
"SAN FRANCISCO DOWNTOWN, CA US",9/12/03,0,,92,67
"SAN FRANCISCO DOWNTOWN, CA US",9/13/03,0,,94,62
"SAN FRANCISCO DOWNTOWN, CA US",9/14/03,0,,66,57
"SAN FRANCISCO DOWNTOWN, CA US",9/15/03,0,,67,55
"SAN FRANCISCO DOWNTOWN, CA US",9/16/03,0,,65,54
"SAN FRANCISCO DOWNTOWN, CA US",9/17/03,0,,72,53
"SAN FRANCISCO DOWNTOWN, CA US",9/18/03,0,,88,59
"SAN FRANCISCO DOWNTOWN, CA US",9/19/03,0,,79,56
"SAN FRANCISCO DOWNTOWN, CA US",9/20/03,0,,83,55
"SAN FRANCISCO DOWNTOWN, CA US",9/21/03,0,,97,59
"SAN FRANCISCO DOWNTOWN, CA US",9/22/03,0,,88,61
"SAN FRANCISCO DOWNTOWN, CA US",9/23/03,0,,68,59
"SAN FRANCISCO DOWNTOWN, CA US",9/24/03,0,,66,57
"SAN FRANCISCO DOWNTOWN, CA US",9/25/03,0,,60,57
"SAN FRANCISCO DOWNTOWN, CA US",9/26/03,0,,62,56
"SAN FRANCISCO DOWNTOWN, CA US",9/27/03,0,,66,55
"SAN FRANCISCO DOWNTOWN, CA US",9/28/03,0,,65,56
"SAN FRANCISCO DOWNTOWN, CA US",9/29/03,0,,65,55
"SAN FRANCISCO DOWNTOWN, CA US",9/30/03,0,,63,53
"SAN FRANCISCO DOWNTOWN, CA US",10/1/03,0,,60,54
"SAN FRANCISCO DOWNTOWN, CA US",10/2/03,0,,62,52
"SAN FRANCISCO DOWNTOWN, CA US",10/3/03,0,,62,54
"SAN FRANCISCO DOWNTOWN, CA US",10/4/03,0,,62,54
"SAN FRANCISCO DOWNTOWN, CA US",10/5/03,0,,66,54
"SAN FRANCISCO DOWNTOWN, CA US",10/6/03,0,,66,51
"SAN FRANCISCO DOWNTOWN, CA US",10/7/03,0,,65,54
"SAN FRANCISCO DOWNTOWN, CA US",10/8/03,0,,66,52
"SAN FRANCISCO DOWNTOWN, CA US",10/9/03,0,,68,55
"SAN FRANCISCO DOWNTOWN, CA US",10/10/03,0,,69,53
"SAN FRANCISCO DOWNTOWN, CA US",10/11/03,0,,67,50
"SAN FRANCISCO DOWNTOWN, CA US",10/12/03,0,,75,54
"SAN FRANCISCO DOWNTOWN, CA US",10/13/03,0,,81,53
"SAN FRANCISCO DOWNTOWN, CA US",10/14/03,0,,70,52
"SAN FRANCISCO DOWNTOWN, CA US",10/15/03,0,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",10/16/03,0,,74,52
"SAN FRANCISCO DOWNTOWN, CA US",10/17/03,0,,78,53
"SAN FRANCISCO DOWNTOWN, CA US",10/18/03,0,,68,53
"SAN FRANCISCO DOWNTOWN, CA US",10/19/03,0,,76,54
"SAN FRANCISCO DOWNTOWN, CA US",10/20/03,0,,79,56
"SAN FRANCISCO DOWNTOWN, CA US",10/21/03,0,,73,53
"SAN FRANCISCO DOWNTOWN, CA US",10/22/03,0,,62,53
"SAN FRANCISCO DOWNTOWN, CA US",10/23/03,0,,74,54
"SAN FRANCISCO DOWNTOWN, CA US",10/24/03,0,,86,56
"SAN FRANCISCO DOWNTOWN, CA US",10/25/03,0,,91,64
"SAN FRANCISCO DOWNTOWN, CA US",10/26/03,0,,92,64
"SAN FRANCISCO DOWNTOWN, CA US",10/27/03,0,,94,64
"SAN FRANCISCO DOWNTOWN, CA US",10/28/03,0,,92,62
"SAN FRANCISCO DOWNTOWN, CA US",10/29/03,0,,68,53
"SAN FRANCISCO DOWNTOWN, CA US",10/30/03,0,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",10/31/03,0.04,,57,48
"SAN FRANCISCO DOWNTOWN, CA US",11/1/03,0,,62,46
"SAN FRANCISCO DOWNTOWN, CA US",11/2/03,0.23,,58,48
"SAN FRANCISCO DOWNTOWN, CA US",11/3/03,0.02,,59,47
"SAN FRANCISCO DOWNTOWN, CA US",11/4/03,0,,59,46
"SAN FRANCISCO DOWNTOWN, CA US",11/5/03,0.05,,55,47
"SAN FRANCISCO DOWNTOWN, CA US",11/6/03,0.24,,62,53
"SAN FRANCISCO DOWNTOWN, CA US",11/7/03,0.02,,63,52
"SAN FRANCISCO DOWNTOWN, CA US",11/8/03,0.37,,64,57
"SAN FRANCISCO DOWNTOWN, CA US",11/9/03,0,,65,55
"SAN FRANCISCO DOWNTOWN, CA US",11/10/03,0,,67,52
"SAN FRANCISCO DOWNTOWN, CA US",11/11/03,0,,69,50
"SAN FRANCISCO DOWNTOWN, CA US",11/12/03,0,,72,52
"SAN FRANCISCO DOWNTOWN, CA US",11/13/03,0,,63,53
"SAN FRANCISCO DOWNTOWN, CA US",11/14/03,0.17,,60,53
"SAN FRANCISCO DOWNTOWN, CA US",11/15/03,0.11,,59,51
"SAN FRANCISCO DOWNTOWN, CA US",11/16/03,0.01,,61,49
"SAN FRANCISCO DOWNTOWN, CA US",11/17/03,0.12,,61,52
"SAN FRANCISCO DOWNTOWN, CA US",11/18/03,0,,68,50
"SAN FRANCISCO DOWNTOWN, CA US",11/19/03,0,,69,52
"SAN FRANCISCO DOWNTOWN, CA US",11/20/03,0,,59,50
"SAN FRANCISCO DOWNTOWN, CA US",11/21/03,0,,57,46
"SAN FRANCISCO DOWNTOWN, CA US",11/22/03,0,,59,43
"SAN FRANCISCO DOWNTOWN, CA US",11/23/03,0,,60,43
"SAN FRANCISCO DOWNTOWN, CA US",11/24/03,0,,60,44
"SAN FRANCISCO DOWNTOWN, CA US",11/25/03,0,,57,44
"SAN FRANCISCO DOWNTOWN, CA US",11/26/03,0,,62,49
"SAN FRANCISCO DOWNTOWN, CA US",11/27/03,0,,59,47
"SAN FRANCISCO DOWNTOWN, CA US",11/28/03,0,,57,50
"SAN FRANCISCO DOWNTOWN, CA US",11/29/03,0,,57,50
"SAN FRANCISCO DOWNTOWN, CA US",11/30/03,0.88,,55,51
"SAN FRANCISCO DOWNTOWN, CA US",12/1/03,0.23,,59,52
"SAN FRANCISCO DOWNTOWN, CA US",12/2/03,0.11,,63,52
"SAN FRANCISCO DOWNTOWN, CA US",12/3/03,0,,61,51
"SAN FRANCISCO DOWNTOWN, CA US",12/4/03,0.29,,54,50
"SAN FRANCISCO DOWNTOWN, CA US",12/5/03,0.39,,65,53
"SAN FRANCISCO DOWNTOWN, CA US",12/6/03,0.76,,63,54
"SAN FRANCISCO DOWNTOWN, CA US",12/7/03,0,,59,48
"SAN FRANCISCO DOWNTOWN, CA US",12/8/03,0,,60,45
"SAN FRANCISCO DOWNTOWN, CA US",12/9/03,0.31,,56,48
"SAN FRANCISCO DOWNTOWN, CA US",12/10/03,0.55,,58,50
"SAN FRANCISCO DOWNTOWN, CA US",12/11/03,0,,58,48
"SAN FRANCISCO DOWNTOWN, CA US",12/12/03,0.42,,53,47
"SAN FRANCISCO DOWNTOWN, CA US",12/13/03,0.01,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",12/14/03,0.72,,57,45
"SAN FRANCISCO DOWNTOWN, CA US",12/15/03,0,,58,43
"SAN FRANCISCO DOWNTOWN, CA US",12/16/03,0,,59,44
"SAN FRANCISCO DOWNTOWN, CA US",12/17/03,0,,61,46
"SAN FRANCISCO DOWNTOWN, CA US",12/18/03,0,,63,48
"SAN FRANCISCO DOWNTOWN, CA US",12/19/03,0.46,,59,50
"SAN FRANCISCO DOWNTOWN, CA US",12/20/03,0.49,,56,49
"SAN FRANCISCO DOWNTOWN, CA US",12/21/03,0,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",12/22/03,0,,58,49
"SAN FRANCISCO DOWNTOWN, CA US",12/23/03,0.21,,57,50
"SAN FRANCISCO DOWNTOWN, CA US",12/24/03,0.54,,57,52
"SAN FRANCISCO DOWNTOWN, CA US",12/25/03,0.01,,55,45
"SAN FRANCISCO DOWNTOWN, CA US",12/26/03,0,,53,43
"SAN FRANCISCO DOWNTOWN, CA US",12/27/03,0,,55,40
"SAN FRANCISCO DOWNTOWN, CA US",12/28/03,0.04,,52,42
"SAN FRANCISCO DOWNTOWN, CA US",12/29/03,2.15,,54,46
"SAN FRANCISCO DOWNTOWN, CA US",12/30/03,0,,55,46
"SAN FRANCISCO DOWNTOWN, CA US",12/31/03,0,,54,46
"SAN FRANCISCO DOWNTOWN, CA US",1/1/04,1.84,,54,44
"SAN FRANCISCO DOWNTOWN, CA US",1/2/04,0.44,,53,43
"SAN FRANCISCO DOWNTOWN, CA US",1/3/04,0,,53,39
"SAN FRANCISCO DOWNTOWN, CA US",1/4/04,0,,54,39
"SAN FRANCISCO DOWNTOWN, CA US",1/5/04,0,,56,41
"SAN FRANCISCO DOWNTOWN, CA US",1/6/04,0.11,,52,46
